Unnamed: 0,verse,predicted_labels,predicted_scores
29," When they see the variety of creation rooted in that unity and growing out of it, they attain fulfillment in Brahman. ","hope, awe","0.6959879994392395, 0.542387843132019"
30,"  This supreme Self is without a beginning, undifferentiated, deathless. Though it dwells in the body, Arjuna, it neither acts nor is touched by action. ","detachment, peace, awe, devotion","0.9222828149795532, 0.9187142848968506, 0.7181886434555054, 0.5035023093223572"
31," As akasha pervades the cosmos but remains unstained, the Self can never be tainted though it dwells in every creature. ","peace, devotion","0.7177373170852661, 0.6114040017127991"
32,"  As the sun lights up the world, the Self dwelling in the field is the source of all light in the field. ","devotion, hope, awe","0.671728253364563, 0.6335866451263428, 0.5454588532447815"
33," Those who, with the eye of wisdom, distinguish the field from its Knower and the way to freedom from the bondage of prakriti, attain the supreme goal.   ","hope, detachment, devotion","0.8730719685554504, 0.6049458384513855, 0.5537422895431519"
0,"O Krishna, what is Brahman, and what is the nature of action? What is the adhyatma, the adhibhuta, the adhidaiva? ",devotion,0.576813519
1," What is the adhiyajna, the supreme sacrifice, and how is it to be offered? How are the self-controlled united with you at the time of death? ",surprise,0.768143117
2,"  My highest nature, the imperishable Brahman, gives every creature its existence and lives in every creature as the adhyatma. My action is creation and the bringing forth of creatures. ",devotion,0.623966932
3," The adhibhuta is the perishable body; the adhidaiva is Purusha, eternal spirit. The adhiyajna, the supreme sacrifice, is made to me as the Lord within you. ","devotion, trust","0.9115307331085205, 0.637344241142273"
4,  Those who remember me at the time of death will come to me. Do not doubt this. ,"trust, devotion, compassion, hope, peace","0.9246907830238342, 0.8536982536315918, 0.6829059720039368, 0.6520575881004333, 0.5459198951721191"
5, Whatever occupies the mind at the time of death determines the destination of the dying; always they will tend toward that state of being. ,Neutral,
6," Therefore, remember me at all times and fight on. With your heart and mind intent on me, you will surely come to me. ","hope, devotion, trust, love, awe, compassion","0.9704089760780334, 0.9597267508506775, 0.9231831431388855, 0.7980385422706604, 0.6914571523666382, 0.5845714211463928"
7," When you make your mind one-pointed through regular practice of meditation, you will find the supreme glory of the Lord. ","hope, detachment, awe, devotion","0.8826368451118469, 0.7983030080795288, 0.6675367951393127, 0.5793941617012024"
8," The Lord is the supreme poet, the first cause, the sovereign ruler, subtler than the tiniest particle, the support of all, inconceivable, bright as the sun, beyond darkness. ","awe, hope, devotion, surprise, trust","0.9614959955215454, 0.9164295196533203, 0.8503321409225464, 0.6115555167198181, 0.5584354996681213"
9," Remembering him in this way at the time of death, through devotion and the power of meditation, with your mind completely stilled and your concentration fixed in the center of spiritual awareness between the eyebrows, you will realize the supreme Lord. ","devotion, hope, detachment, awe","0.9767111539840698, 0.8807847499847412, 0.8642303943634033, 0.5158107876777649"
10," I will tell you briefly of the eternal state all scriptures affirm, which can be entered only by those who are self-controlled and free from selfish passions. Those whose lives are dedicated to Brahman attain this supreme goal. ","detachment, devotion, peace, hope","0.7688749432563782, 0.7060219645500183, 0.5363781452178955, 0.5050175189971924"
11,"  Remembering me at the time of death, close down the doors of the senses and place the mind in the heart. Then, while absorbed in meditation, focus all energy upwards to the head. ","detachment, devotion, peace","0.9332634210586548, 0.778005838394165, 0.6644240021705627"
12," Repeating in this state the divine name, the syllable Om that represents the changeless Brahman, you will go forth from the body and attain the supreme goal. ","hope, devotion","0.972209095954895, 0.8863705396652222"
13,"  I am easily attained by the person who always remembers me and is attached to nothing else. Such a person is a true yogi, Arjuna. ","devotion, detachment, trust","0.9650582671165466, 0.8514164686203003, 0.6375688314437866"
14, Great souls make their lives perfect and discover me; they are freed from mortality and the suffering of this separate existence. ,"detachment, peace, hope, awe, devotion, compassion, surprise","0.9231947064399719, 0.9107872247695923, 0.83012855052948, 0.6889817714691162, 0.6663236618041992, 0.5944120287895203, 0.5012567639350891"
15," Every creature in the universe is subject to rebirth, Arjuna, except the one who is united with me. ","devotion, compassion, trust, hope","0.8487092852592468, 0.6613547205924988, 0.6255931854248047, 0.5792072415351868"
16,  Those who understand the cosmic laws know that the Day of Brahma ends after a thousand yugas and the Night of Brahma ends after a thousand yugas. ,devotion,0.515837967
17," When the day of Brahma dawns, forms are brought forth from the Unmanifest; when the night of Brahma comes, these forms merge in the Formless again. ",Neutral,
18, This multitude of beings is created and destroyed again and again in the succeeding days and nights of Brahma. ,Neutral,
19," But beyond this formless state there is another, unmanifested reality, which is eternal and is not dissolved when the cosmos is destroyed. ",hope,0.612562597
20," Those who realize lifes supreme goal know that I am unmanifested and unchanging. Having come home to me, they never return to separate existence. ","trust, peace, devotion, awe","0.7888405919075012, 0.7576735615730286, 0.7479109764099121, 0.5652762055397034"
21," This supreme Lord who pervades all existence, the true Self of all creatures, may be realized through undivided love. ","love, devotion, hope, compassion","0.9446617960929871, 0.9249052405357361, 0.8243271708488464, 0.51319420337677"
22," There are two paths, Arjuna, which the soul may follow at the time of death. One leads to rebirth and the other to liberation. ",Neutral,
23," The six months of the northern path of the sun, the path of light, of fire, of day, of the bright fortnight, leads knowers of Brahman to the supreme goal. ","hope, awe, devotion","0.7328239679336548, 0.5451860427856445, 0.5301669836044312"
24," The six months of the southern path of the sun, the path of smoke, of night, of the dark fortnight, leads other souls to the light of the moon and to rebirth. ","hope, devotion","0.8977841734886169, 0.8245912790298462"
25,"  These two paths, the light and the dark, are said to be eternal, leading some to liberation and others to rebirth. ",Neutral,
26," Once you have known these two paths, Arjuna, you can never be deluded again. Attain this knowledge through perseverance in yoga. ",Neutral,
27," There is merit in studying the scriptures, in selfless service, austerity, and giving, but the practice of meditation carries you beyond all these to the supreme abode of the highest Lord. ","hope, devotion, awe, compassion","0.8183258771896362, 0.7820233106613159, 0.6628311276435852, 0.5215888619422913"
0," O Krishna, destroyer of evil, please explain to me sannyasa and tyaga and how one kind of renunciation differs from another. ",Neutral,
1," To refrain from selfish acts is one kind of renunciation, called sannyasa; to renounce the fruit of action is another, called tyaga. ",Neutral,
2,"  Among the wise, some say that all action should be renounced as evil. Others say that certain kinds of action  self-sacrifice, giving, and self-discipline  should be continued. ",devotion,0.58550626
3," Listen, Arjuna, and I will explain three kinds of tyaga and my conclusions concerning them. ",Neutral,
4,"  Self-sacrifice, giving, and self-discipline should not be renounced, for they purify the thoughtful. ","devotion, peace, hope","0.7439990043640137, 0.6722131967544556, 0.6244031190872192"
5," Yet even these, Arjuna, should be performed without desire for selfish rewards. This is essential. ",detachment,0.734381258
6,  To renounce ones responsibilities is not fitting. The wise call such deluded renunciation tamasic. ,Neutral,
7, To avoid action from fear of difficulty or physical discomfort is rajasic. There is no reward in such renunciation. ,"fear, detachment","0.9788392782211304, 0.5734559297561646"
8," But to fulfill your responsibilities knowing that they are obligatory, while at the same time desiring nothing for yourself  this is sattvic renunciation. ",detachment,0.924678862
9," Those endowed with sattva clearly understand the meaning of renunciation and do not waver. They are not intimidated by unpleasant work, nor do they seek a job because it is pleasant. ","devotion, detachment","0.6915042996406555, 0.6690255999565125"
10,"  As long as one has a body, one cannot renounce action altogether. True renunciation is giving up all desire for personal reward. ",Neutral,
11," Those who are attached to personal reward will reap the consequences of their actions: some pleasant, some unpleasant, some mixed. But those who renounce every desire for personal reward go beyond the reach of karma. ",,
12,"  Listen, Arjuna, and I will explain the five elements necessary for the accomplishment of every action, as taught by the wisdom of Sankhya. ",Neutral,
13," The body, the means, the ego, the performance of the act, and the divine will: ",Neutral,
14," these are the five factors in all actions, right or wrong, in thought, word, or deed. ",Neutral,
15,  Those who do not understand this think of themselves as separate agents. With their crude intellects they fail to see the truth. ,detachment,0.650103688
16," The person who is free from ego, who has attained purity of heart, though he slays these people, he does not slay and is not bound by his action. ","detachment, peace, devotion, compassion, hope","0.9861004948616028, 0.7814104557037354, 0.7039495706558228, 0.6580532789230347, 0.6036406755447388"
17,"  Knowledge, the thing to be known, and the knower: these three promote action. The means, the act itself, and the doer: these three are the totality of action. ",Neutral,
18," Knowledge, action, and the doer can be described according to the gunas. Listen, and I will explain their distinctions to you. ",Neutral,
19,"  Sattvic knowledge sees the one indestructible Being in all beings, the unity underlying the multiplicity of creation. ",Neutral,
20, Rajasic knowledge sees all things and creatures as separate and distinct. ,"detachment, devotion","0.9650918841362, 0.5201651453971863"
21," Tamasic knowledge, lacking any sense of perspective, sees one small part and mistakes it for the whole. ",Neutral,
22,"  Work performed to fulfill ones obligations, without thought of personal reward or of whether the job is pleasant or unpleasant, is sattvic. ",detachment,0.86151439
23," Work prompted by selfish desire or self-will, full of stress, is rajasic. ",Neutral,
24," Work that is undertaken blindly, without any consideration of consequences, waste, injury to others, or ones own capacities, is tamasic. ","disgust, detachment, sadness","0.8397948145866394, 0.7413201928138733, 0.7118309140205383"
25,"  Sattvic workers are free from egotism and selfish attachments, full of enthusiasm and fortitude in success and failure alike. ","detachment, hope","0.8793444037437439, 0.579623281955719"
26," Rajasic workers have strong personal desires and crave rewards for their actions. Covetous, impure, and destructive, they are easily swept away by fortune, good or bad. ",Neutral,
27," Tamasic workers are undisciplined, vulgar, stubborn, deceitful, dishonest, and lazy. They are easily depressed and prone to procrastination. ",sadness,0.544381261
28,"  Listen, Arjuna, as I describe the three types of understanding and will. ",Neutral,
29,"  To know when to act and when to refrain from action, what is right action and what is wrong, what brings security and what insecurity, what brings freedom and what bondage: these are the signs of a sattvic intellect. ",,
30,"  The rajasic intellect confuses right and wrong actions, and cannot distinguish what is to be done from what should not be done. ",Neutral,
31," The tamasic intellect is shrouded in darkness, utterly reversing right and wrong wherever it turns. ",surprise,0.667542756
32,"  The sattvic will, developed through meditation, keeps prana, mind, and senses in vital harmony. ",peace,0.892397642
33," The rajasic will, conditioned by selfish desire, pursues wealth, pleasure, and respectability. ",joy,0.5227108
34," The tamasic will shows itself in obstinate ignorance, sloth, fear, grief, depression, and conceit. ","fear, grief, sadness","0.9776137471199036, 0.9752539396286011, 0.9417571425437927"
35,"  Now listen, Arjuna: there are also three kinds of happiness. By sustained effort, one comes to the end of sorrow. ",Neutral,
36," That which seems like poison at first, but tastes like nectar in the end  this is the joy of sattva, born of a mind at peace with itself. ","joy, peace, surprise, hope, compassion, detachment, trust","0.9863737225532532, 0.9238739609718323, 0.8289275169372559, 0.7168179750442505, 0.6582280397415161, 0.6300825476646423, 0.5239217281341553"
37," Pleasure from the senses seems like nectar at first, but it is bitter as poison in the end. This is the kind of happiness that comes to the rajasic. ",Neutral,
38," Those who are tamasic draw their pleasures from sleep, indolence, and intoxication. Both in the beginning and in the end, this happiness is a delusion. ",detachment,0.598715901
39,"  No creature, whether born on earth or among the gods in heaven, is free from the conditioning of the three gunas. ",Neutral,
40," The different responsibilities found in the social order  distinguishing brahmin, kshatriya, vaishya, and shudra  have their roots in this conditioning. ",Neutral,
41,"  The responsibilities to which brahmins are born, based on their nature, are self-control, tranquility, purity of heart, patience, humility, learning, austerity, wisdom, and faith. ","peace, detachment, devotion","0.9549936652183533, 0.6422094106674194, 0.6107132434844971"
42,"  The qualities of kshatriyas, based on their nature, are courage, strength, fortitude, dexterity, generosity, leadership, and the firm resolve never to retreat from battle. ",Neutral,
43," The occupations suitable for a vaishya are agriculture, dairying, and trade. The proper work of a shudra is service. ",Neutral,
44,"  By devotion to ones own particular duty, everyone can attain perfection. Let me tell you how. ","devotion, hope","0.9658953547477722, 0.6055582165718079"
45," By performing ones own work, one worships the Creator who dwells in every creature. Such worship brings that person to fulfillment. ","devotion, hope, peace, joy","0.9260311722755432, 0.7426179051399231, 0.6879537105560303, 0.5268732309341431"
46,"  It is better to perform ones own duties imperfectly than to master the duties of another. By fulfilling the obligations he is born with, a person never comes to grief. ","peace, detachment","0.6329339146614075, 0.5365597605705261"
47," No one should abandon duties because he sees defects in them. Every action, every activity, is surrounded by defects as a fire is surrounded by smoke. ",Neutral,
48,"  One who is free from selfish attachments, who has mastered himself and his passions, attains the supreme perfection of freedom from action. ","detachment, peace, awe, hope","0.9740281701087952, 0.8501132726669312, 0.7057588696479797, 0.6333757042884827"
49," Listen and I shall explain now, Arjuna, how one who has attained perfection also attains Brahman, the supreme consummation of wisdom. ","anticipation, hope","0.6538046002388, 0.5949786901473999"
50,"  Unerring in discrimination, sovereign of the senses and passions, free from the clamor of likes and dislikes, ","peace, detachment, hope, devotion, joy, awe","0.9390958547592163, 0.9251001477241516, 0.5723371505737305, 0.5576311945915222, 0.5355063676834106, 0.5282050371170044"
51," such a one leads a simple, self-reliant life based on meditation, controlling speech, body, and mind. ","detachment, peace, devotion","0.8050615787506104, 0.7031504511833191, 0.5110751390457153"
52,"  Free from self-will, aggressiveness, arrogance, anger, and the lust to possess people or things, they are at peace with themselves and others and enter into the unitive state. ","peace, detachment, hope, anger","0.9351051449775696, 0.9057607650756836, 0.6574199199676514, 0.6550360321998596"
53," United with Brahman, ever joyful, beyond the reach of desire and sorrow, they have equal regard for every living creature and attain supreme devotion to me. ","joy, devotion, love, peace, trust, compassion, awe, hope","0.9879655241966248, 0.9823442697525024, 0.9542199969291687, 0.9354526996612549, 0.9172802567481995, 0.885600745677948, 0.714426577091217, 0.5061421990394592"
54, By loving me they come to know me truly; then they know my glory and enter into my boundless being. ,"love, devotion, hope, compassion, trust, awe, peace, joy","0.9910485744476318, 0.9478283524513245, 0.9235175848007202, 0.9223721027374268, 0.8798387050628662, 0.744729220867157, 0.6986308693885803, 0.5320184230804443"
55," All their acts are performed in my service, and through my grace they win eternal life. ","hope, trust, devotion, love, peace, compassion","0.9703168869018555, 0.9013464450836182, 0.8311761021614075, 0.8037347793579102, 0.7852076292037964, 0.686996579170227"
56,"  Make every act an offering to me; regard me as your only protector. Relying on interior discipline, meditate on me always. ","devotion, trust, peace, hope, compassion, love, awe","0.9840211868286133, 0.9591566920280457, 0.9459068179130554, 0.9434295892715454, 0.9223360419273376, 0.8731877207756042, 0.518642008304596"
57," Remembering me, you shall overcome all difficulties through my grace. But if you will not heed me in your self-will, nothing will avail you. ","hope, devotion, trust, peace, compassion, awe","0.9783157110214233, 0.9247089624404907, 0.866480827331543, 0.703576922416687, 0.6097355484962463, 0.5828589200973511"
58,"  If you egotistically say, I will not fight this battle, your resolve will be useless; your own nature will drive you into it. ",Neutral,
59," Your own karma, born of your own nature, will drive you to do even that which you do not wish to do, because of your delusion. ",Neutral,
60,  The Lord dwells in the hearts of all creatures and whirls them round upon the wheel of maya. ,"awe, hope, trust, devotion","0.7885681986808777, 0.7081800103187561, 0.6452115178108215, 0.5901737809181213"
61," Run to him for refuge with all your strength, and peace profound will be yours through his grace. ","hope, peace, trust, devotion, love, compassion, awe","0.9925954341888428, 0.957916796207428, 0.9549031257629395, 0.9531605839729309, 0.8674900531768799, 0.8544697165489197, 0.793847918510437"
62,  I give you these precious words of wisdom; reflect on them and then do as you choose. ,"peace, trust, compassion","0.6467324495315552, 0.5511125922203064, 0.5489071011543274"
63," These are the last words I shall speak to you, dear one, for your spiritual fulfillment. You are very dear to me. ","hope, devotion, love, compassion, peace, trust, anticipation, detachment","0.9222162961959839, 0.9101849794387817, 0.871616542339325, 0.8061848878860474, 0.7906662821769714, 0.724320113658905, 0.5891770124435425, 0.5699418783187866"
64,"  Be aware of me always, adore me, make every act an offering to me, and you shall come to me; this I promise; for you are dear to me. ","devotion, trust, love, hope, compassion, peace, awe, anticipation","0.9899986386299133, 0.9860891699790955, 0.9731669425964355, 0.9682199358940125, 0.948077917098999, 0.8879131078720093, 0.708551824092865, 0.6618061065673828"
65, Abandon all supports and look to me for protection. I shall purify you from the sins of the past; do not grieve. ,"hope, devotion, detachment, trust, peace, grief, compassion","0.9444010853767395, 0.9415450096130371, 0.9250799417495728, 0.8561950922012329, 0.6759602427482605, 0.6416621208190918, 0.570930540561676"
66,"  Do not share this wisdom with anyone who lacks in devotion or self-control, lacks the desire to learn, or scoffs at me. ","detachment, devotion","0.7119148373603821, 0.522235631942749"
67, Those who teach this supreme mystery of the Gita to all who love me perform the greatest act of love; they will come to me without doubt. ,"love, devotion, trust, hope, compassion, peace, awe","0.9940532445907593, 0.9612545967102051, 0.9408024549484253, 0.9339808821678162, 0.8994734287261963, 0.6159205436706543, 0.5840550661087036"
68, No one can render me more devoted service; no one on earth can be more dear to me. ,"devotion, love, trust, compassion, awe","0.9825926423072815, 0.9487023949623108, 0.944369375705719, 0.8455128073692322, 0.7708615660667419"
69, Those who meditate on these holy words worship me with wisdom and devotion. ,"devotion, awe, peace, trust, hope, love","0.9821782112121582, 0.9063326716423035, 0.7229622602462769, 0.6724516153335571, 0.6286337971687317, 0.6061714887619019"
70," Even those who listen to them with faith, free from doubts, will find a happier world where good people dwell. ","hope, trust, peace, devotion, joy, compassion","0.9834858179092407, 0.9527745842933655, 0.9039544463157654, 0.7526796460151672, 0.6072410941123962, 0.5480914115905762"
71,  Have you listened with attention? Are you now free from your doubts and confusion? ,"hope, trust","0.5740718245506287, 0.564275860786438"
72,"You have dispelled my doubts and delusions, and I understand through your grace. My faith is firm now, and I will do your will. ","trust, hope, peace, devotion, awe, love, compassion, detachment, joy","0.9908704161643982, 0.9826042056083679, 0.9730044603347778, 0.9299358129501343, 0.8994861245155334, 0.8430989980697632, 0.8311892151832581, 0.7018759846687317, 0.6849005818367004"
73," This is the dialogue I heard between Krishna, the son of Vasudeva, and Arjuna, the great-hearted son of Pritha. The wonder of it makes my hair stand on end! ","awe, surprise, compassion, devotion, joy","0.9883768558502197, 0.8786086440086365, 0.755047082901001, 0.7201904058456421, 0.6897960305213928"
74," Through Vyasas grace, I have heard the supreme secret of spiritual union directly from the Lord of Yoga, Krishna himself. ","awe, hope, devotion, trust","0.820008397102356, 0.787182629108429, 0.7302031517028809, 0.5748410224914551"
75,"  Whenever I remember these wonderful, holy words between Krishna and Arjuna, I am filled with joy. ","joy, devotion, hope, love, peace, compassion, trust","0.9931486248970032, 0.913393497467041, 0.897873044013977, 0.8206618428230286, 0.7532944083213806, 0.6953310370445251, 0.5152236223220825"
76," And when I remember the breathtaking form of Krishna, I am filled with wonder and my joy overflows. ","awe, joy, devotion, love, hope","0.9858807921409607, 0.9836896061897278, 0.8254445195198059, 0.7653834223747253, 0.7049344182014465"
77,"  Wherever the divine Krishna and the mighty Arjuna are, there will be prosperity, victory, happiness, and sound judgment. Of this I am sure!  ","hope, trust, devotion, peace, awe, joy, anticipation","0.8955268859863281, 0.8645835518836975, 0.820992112159729, 0.8083940148353577, 0.719839334487915, 0.6809877753257751, 0.593162477016449"
0,"O Krishna, you have recommended both the path of selfless action and sannyasa, the path of renunciation of action. Tell me definitely which is better. ",Neutral,
1,  Both renunciation of action and the selfless performance of action lead to the supreme goal. But the path of action is better than renunciation. ,hope,0.545664489
2," Those who have attained perfect renunciation are free from any sense of duality; they are unaffected by likes and dislikes, Arjuna, and are free from the bondage of self-will. ","detachment, peace","0.9001150727272034, 0.7923343777656555"
3," The immature think that knowledge and action are different, but the wise see them as the same. The person who is established in one path will attain the rewards of both. ",Neutral,
4, The goal of knowledge and the goal of service are the same; those who fail to see this are blind. ,Neutral,
5," Perfect renunciation is difficult to attain without performing action. But the wise, following the path of selfless service, quickly reach Brahman. ",hope,0.5652439
6," Those who follow the path of service, who have completely purified themselves and conquered their senses and self-will, see the Self in all creatures and are untouched by any action they perform. ","detachment, devotion, peace, compassion, awe","0.9231454730033875, 0.8523334264755249, 0.7709381580352783, 0.7529177069664001, 0.5123382210731506"
7," Those who know this truth, whose consciousness is unified, think always, I am not the doer. While seeing or hearing, touching or smelling; eating, moving about, or sleeping; breathing","detachment, peace","0.791321873664856, 0.7436351776123047"
8," or speaking, letting go or holding on, even opening or closing the eyes, they understand that these are only the movements of the senses among sense objects. ",detachment,0.618823111
9, Those who surrender to Brahman all selfish attachments are like the leaf of a lotus floating clean and dry in water. Sin cannot touch them. ,"peace, detachment, devotion, hope, compassion, trust, awe","0.9882354736328125, 0.9836229085922241, 0.8986037969589233, 0.793985903263092, 0.7732663750648499, 0.6999240517616272, 0.5940467715263367"
10," Renouncing their selfish attachments, those who follow the path of service work with body, senses, and mind for the sake of self-purification. ","detachment, hope, devotion, peace, compassion","0.9699938297271729, 0.7413952350616455, 0.628679633140564, 0.6055882573127747, 0.5203229188919067"
11," Those whose consciousness is unified abandon all attachment to the results of action and attain supreme peace. But those whose desires are fragmented, who are selfishly attached to the results of their work, are bound in everything they do. ","peace, detachment, hope","0.9824262261390686, 0.8478605151176453, 0.7192561030387878"
12," Those who renounce attachment in all their deeds live content in the city of nine gates, the body, as its master. They are not driven to act, nor do they involve others in action. ","detachment, peace, devotion, trust","0.9905577301979065, 0.9812681078910828, 0.5411981344223022, 0.5181601047515869"
13," Neither the sense of acting, nor actions, nor the connection of cause and effect comes from the Lord of this world. These three arise from nature. ",Neutral,
14, The Lord does not partake in the good and evil deeds of any person; judgment is clouded when wisdom is obscured by ignorance. ,detachment,0.666612089
15," But ignorance is destroyed by knowledge of the Self within. The light of this knowledge shines like the sun, revealing the supreme Brahman. ","awe, hope","0.7608838677406311, 0.5068426728248596"
16," Those who cast off sin through this knowledge, absorbed in the Lord and established in him as their one goal and refuge, are not reborn as separate creatures. ","hope, devotion, trust","0.8940268754959106, 0.8249048590660095, 0.5865666270256042"
17," Those who possess this wisdom have equal regard for all. They see the same Self in a spiritual aspirant and an outcaste, in an elephant, a cow, and a dog. ","compassion, devotion, trust, love, peace","0.9197304844856262, 0.8533370494842529, 0.7050089836120605, 0.64399254322052, 0.6425631642341614"
18," Such people have mastered life. With even mind they rest in Brahman, who is perfect and is everywhere the same. ","peace, awe, devotion","0.8220738172531128, 0.7840359807014465, 0.7249661684036255"
19," They are not elated by good fortune nor depressed by bad. With mind established in Brahman, they are free from delusion. ","peace, detachment, trust, compassion, devotion","0.9436154961585999, 0.9146361351013184, 0.604424238204956, 0.5336934328079224, 0.5118157863616943"
20," Not dependent on any external support, they realize the joy of spiritual awareness. With consciousness unified through meditation, they live in abiding joy. ","joy, hope, peace, awe","0.9750839471817017, 0.7724108099937439, 0.7163583040237427, 0.5252094864845276"
21," Pleasures conceived in the world of the senses have a beginning and an end and give birth to misery, Arjuna. The wise do not look for happiness in them. ","sadness, grief","0.8592761754989624, 0.5565755367279053"
22, But those who overcome the impulses of lust and anger which arise in the body are made whole and live in joy. ,"joy, hope, peace, anger, awe","0.9848041534423828, 0.9284533262252808, 0.6734856367111206, 0.6383658051490784, 0.6180450320243835"
23," They find their joy, their rest, and their light completely within themselves. United with the Lord, they attain nirvana in Brahman. ","devotion, peace, hope, joy, awe, compassion","0.8375735878944397, 0.8300673365592957, 0.8128663301467896, 0.7912956476211548, 0.6137953400611877, 0.5259144902229309"
24," Healed of their sins and conflicts, working for the good of all beings, the holy sages attain nirvana in Brahman. ","devotion, compassion, hope, peace, awe","0.847690999507904, 0.7173545360565186, 0.617165207862854, 0.5512075424194336, 0.5412732362747192"
25," Free from anger and selfish desire, unified in mind, those who follow the path of yoga and realize the Self are established forever in that supreme state. ","peace, detachment, hope, devotion, anger, awe","0.9358660578727722, 0.7219294905662537, 0.6652303338050842, 0.5721415877342224, 0.5416508316993713, 0.5311218500137329"
26," Closing their eyes, steadying their breathing, and focusing their attention on the center of spiritual consciousness, ","detachment, devotion, peace","0.9104668498039246, 0.8098343014717102, 0.7846094965934753"
27," the wise master their senses, mind, and intellect through meditation. Self-realization is their only goal. Freed from selfish desire, fear, and anger, they live in freedom always. ","peace, detachment","0.7917410731315613, 0.5026024580001831"
28," Knowing me as the friend of all creatures, the Lord of the universe, the end of all offerings and all spiritual disciplines, they attain eternal peace. ","peace, trust, devotion, compassion, hope, love","0.9829462766647339, 0.9450063705444336, 0.8897231817245483, 0.7375277876853943, 0.5907609462738037, 0.564233124256134"
0," Let me tell you more about the wisdom that transcends all knowledge, through which the saints and sages attained perfection. ",Neutral,
1, Those who rely on this wisdom will be united with me. For them there is neither rebirth nor fear of death. ,"peace, trust, devotion","0.8807230591773987, 0.6640595197677612, 0.5982409119606018"
2,  My womb is prakriti; in that I place the seed. Thus all created things are born. ,Neutral,
3," Everything born, Arjuna, comes from the womb of prakriti, and I am the seed-giving father. ","devotion, trust, awe, hope","0.8425487279891968, 0.5215664505958557, 0.5153153538703918, 0.5120866298675537"
4,"  It is the three gunas born of prakriti  sattva, rajas, and tamas  that bind the immortal Self to the body. ",Neutral,
5," Sattva  pure, luminous, and free from sorrow  binds us with attachment to happiness and wisdom. ","peace, devotion, hope, joy, awe, love","0.9754942059516907, 0.9222197532653809, 0.9119276404380798, 0.8392928838729858, 0.737529993057251, 0.5407794713973999"
6," Rajas is passion, arising from selfish desire and attachment. These bind the Self with compulsive action. ",Neutral,
7," Tamas, born of ignorance, deludes all creatures through heedlessness, indolence, and sleep. ",detachment,0.92091018
8,"  Sattva binds us to happiness; rajas binds us to action. Tamas, distorting our understanding, binds us to delusion. ","joy, peace, hope","0.6992533802986145, 0.6206428408622742, 0.5057880282402039"
9,  Sattva predominates when rajas and tamas are transformed. Rajas prevails when sattva is weak and tamas overcome. Tamas prevails when rajas and sattva are dormant. ,devotion,0.645797968
10,"  When sattva predominates, the light of wisdom shines through every gate of the body. ","peace, hope, devotion, compassion","0.8596567511558533, 0.8294494152069092, 0.7636496424674988, 0.5795037150382996"
11," When rajas predominates, a person runs about pursuing selfish and greedy ends, driven by restlessness and desire. ",Neutral,
12," When tamas is dominant a person lives in darkness  slothful, confused, and easily infatuated. ",Neutral,
13, Those dying in the state of sattva attain the pure worlds of the wise. ,"peace, devotion, compassion, hope","0.7744141817092896, 0.7452895045280457, 0.6807762980461121, 0.5532618761062622"
14, Those dying in rajas are reborn among people driven by work. But those who die in tamas are conceived in the wombs of the ignorant. ,Neutral,
15,  The fruit of good deeds is pure and sattvic. The fruit of rajas is suffering. The fruit of tamas is ignorance and insensitivity. ,"sadness, grief, detachment","0.9588131308555603, 0.6094532608985901, 0.5502529144287109"
16,"  From sattva comes understanding; from rajas, greed. But the outcome of tamas is confusion, infatuation, and ignorance. ",Neutral,
17,  Those who live in sattva go upwards; those in rajas remain where they are. But those immersed in tamas sink downwards. ,"devotion, detachment, peace, compassion","0.8651727437973022, 0.6614548563957214, 0.6038357019424438, 0.5100994110107422"
18,"  The wise see clearly that all action is the work of the gunas. Knowing that which is above the gunas, they enter into union with me. ",Neutral,
19,"  Going beyond the three gunas which form the body, they leave behind the cycle of birth and death, decrepitude and sorrow, and attain to immortality. ","detachment, awe, peace, hope","0.8074004054069519, 0.6472805142402649, 0.6117727756500244, 0.6089584827423096"
20," What are the characteristics of those who have gone beyond the gunas, O Lord? How do they act? How have they passed beyond the gunas hold? ",Neutral,
21,"  They are unmoved by the harmony of sattva, the activity of rajas, or the delusion of tamas. They feel no aversion when these forces are active, nor do they crave for them when these forces subside. ",detachment,0.932082415
22,"  They remain impartial, undisturbed by the actions of the gunas. Knowing that it is the gunas which act, they abide within themselves and do not vacillate. ","detachment, peace, trust, devotion, compassion, hope, awe, love","0.9935352802276611, 0.9856665730476379, 0.930063784122467, 0.896842896938324, 0.7065869569778442, 0.6562878489494324, 0.6513439416885376, 0.5134521126747131"
23," Established within themselves, they are equal in pleasure and pain, praise and blame, kindness and unkindness. Clay, a rock, and gold are the same to them. ",Neutral,
24," Alike in honor and dishonor, alike to friend and foe, they have given up every selfish pursuit. Such are those who have gone beyond the gunas. ","detachment, devotion, awe, compassion, peace, hope","0.946395993232727, 0.7849569320678711, 0.7421923875808716, 0.6861228942871094, 0.625790536403656, 0.5913485884666443"
25,"  By serving me with steadfast love, a man or woman goes beyond the gunas. Such a one is fit for union with Brahman. ","love, devotion, compassion, awe, hope, trust","0.9890563488006592, 0.9821832180023193, 0.8379657864570618, 0.8271468877792358, 0.6108505725860596, 0.5995122790336609"
26," For I am the support of Brahman, the eternal, the unchanging, the deathless, the everlasting dharma, the source of all joy. ","joy, peace, devotion, hope, trust","0.9804180264472961, 0.957676351070404, 0.9404282569885254, 0.9241889119148254, 0.9236793518066406"
